Лукум болгарский;1.5;0.85;89.65;382.0;Сладости
Майонез любительский;3.1;47.0;3.0;449.0;Соусы
Майонез салатный ;2.3;55.0;4.2;537.4;Соусы
Макаронные изделия;10.7;1.3;74.2;333.0;Хлебобулочные 
Макаронные изделия Италия с содержанием яиц ;14.0;4.0;65.0;352.0;Хлебобулочные 
Макаронные изделия для Лазаньи Италия;12.5;1.5;73.0;355.0;Хлебобулочные 
Макаронные изделия из свежего теста Pasta;12.0;3.0;53.0;290.0;Хлебобулочные 
Макаронные изделия лапша с содержанием яиц на отварные 100 гр;6.0;2.0;26.0;146.0;Хлебобулочные 
Макаронные изделия с добавками моркови;11.3;0.9;77.1;362.0;Хлебобулочные 
Макароны Италия твёрдых сортов пшеницы Pasta Zara;12.0;1.1;75.0;358.0;Хлебобулочные 
Макароны Италия твёрдых сортов пшеницы с добавками томатов и шпината Maltagliati;12.0;1.6;71.0;346.0;Хлебобулочные 
Макароны Италия твёрдых сортов пшеницы с добавками шпината Federici;13.0;1.0;74.0;357.0;Хлебобулочные 
Малина;0.8;0.0;9.0;41.0;Ягоды
Малина мороженная;1.2;0.3;6.1;38.2;Ягоды
Мандарин;0.8;0.0;8.6;38.0;Цитрусовые
Мармелад (в сахаре);0.0;0.0;80.6;311.0;Сладости
Маслины солёные;1.23;16.43;4.78;172.91;Овощи
Масло сливочное Вологодское;0.5;82.5;0.8;748.0;Молочные продукты
Масло сливочное крестьянское ;0.8;72.5;1.3;661.0;Молочные продукты
Маслята свежие;0.9;0.4;3.2;19.0;Грибы
Миндаль жареный;25.6;32.2;14.8;635.0;Орехи
Мирабель;1.0;0.0;8.6;40.0;Фрукты
Молоко 1,5%;2.9;1.5;4.7;44.0;Молочные продукты
Молоко 3,2% жирности;2.8;3.2;4.7;58.0;Молочные продукты
Молоко 3,5% жирности;2.8;3.5;4.7;62.0;Молочные продукты
Молоко сгущённое Сгущёнка Молочная страна;4.2;8.5;55.7;307.6;Сладости
Молоко сгущённое Сгущёнка Смоленская;7.4;8.5;55.8;325.0;Сладости
Морковь жёлтая;1.3;0.1;6.0;33.0;Овощи
Морковь красная;1.3;0.1;7.0;33.0;Овощи
Мороженое сливочное в шоколадной глазури Лакомка;3.2;20.2;19.4;280.0;Сладости
Мороженое сливочное в шоколадной глазури с орехами Боярское;3.9;18.9;23.0;277.0;Сладости
Морошка;0.8;0.0;6.8;31.0;Ягоды
Мюсли фруктовый сад;14.0;4.0;70.0;370.0;Разное 
Мёд;0.0;0.0;71.0;284.0;Сладости
Напиток Горячий шоколад сухой растворимый с сахаром;10.0;12.8;72.8;452.0;Разное 
Нут;20.1;5.0;54.2;329.0;Зернобобовые
Облепиха;0.9;0.0;5.5;30.0;Ягоды
Овсянные хлопья ;11.0;6.2;51.0;305.0;Зерновые 
Овёс;10.1;4.7;57.8;300.0;Зерновые 
Огурцы;0.8;0.0;3.0;15.0;Овощи
Огурцы маринованные;0.0;0.0;4.0;18.0;Овощи
Огурцы солёные;0.0;0.0;4.0;15.0;Овощи
Оливки фаршированные анчоусами;2.1;15.7;5.2;171.0;Овощи
Оливки фаршированные красным перцем;1.39;14.1;1.96;154.3;Овощи
Оливки фаршированные лимоном;1.6;15.1;2.7;148.2;Овощи
Оливковое;0.0;99.9;0.0;898.0;Масла
Опята свежие;2.2;0.7;1.3;20.0;Грибы
Осетрина горячего копчения;22.0;15.0;13.0;223.0;Морепродукты
Пастернак корень;1.4;0.0;11.0;47.0;Овощи
Патиссоны;0.6;0.0;4.3;19.0;Овощи
Пекан (китайский орех);9.2;71.2;12.3;736.0;Орехи
Перец;1.3;0.0;4.7;27.0;Овощи
Персики;0.9;0.0;10.4;44.0;Фрукты
Петрушка зелень;3.7;0.0;8.1;45.0;Овощи
Петрушка корень;1.5;0.0;11.0;47.0;Овощи
Повидло вишнёвое с яблоком;0.0;0.0;50.0;184.0;Сладости
Подберёзовики свежие;2.3;0.9;3.7;31.0;Грибы
Подберёзовики сушёные;24.0;9.3;37.2;319.0;Грибы
Подосиновики свежие;3.3;0.5;3.4;31.0;Грибы
Подосиновики сушёные;32.5;4.9;33.2;299.0;Грибы
Подсолнечное;0.0;99.9;0.0;899.0;Масла
Полено кондитерское арахисовое;5.5;18.2;68.0;433.0;Сладости
Просо;11.2;3.8;60.7;307.0;Зерновые 
Простокваша 3,2%;3.3;3.2;5.5;64.5;Молочные продукты
Пшеница;11.6;1.6;68.7;318.0;Зерновые 
Пшеничная мука;11.0;2.0;72.0;350.0;Зерновые 
Пшено - крупа шлифованная;11.5;3.3;64.8;348.0;Зерновые 
Раковые шейки в рассоле;20.6;1.7;0.0;98.0;Морепродукты
Рапсовое;0.0;99.85;0.0;899.0;Масла
Ревень черешковый;0.7;0.0;2.9;16.0;Овощи
Редис;1.2;0.0;4.1;20.0;Овощи
Редька;1.9;0.0;7.0;34.0;Овощи
Репа;1.5;0.0;5.9;28.0;Овощи
Рис Fitness - смесь дикого и бурого риса;8.1;4.1;63.4;322.9;Зерновые 
Рис длиннозерновой шлифованный;7.0;0.5;78.5;347.0;Зерновые 
Рис коричневый слабошлифованный;7.4;2.2;72.0;337.0;Зерновые 
Рис ;7.3;2.6;63.1;284.0;Зерновые 
Рожь;9.9;1.6;70.9;320.0;Зерновые 
Рыжики свежие;1.9;0.8;2.0;22.0;Грибы
Рябина садовая;1.4;0.0;12.5;58.0;Фрукты
Рябина черноплодная;1.5;0.0;12.0;54.0;Фрукты
Ряженка 3,2%;3.2;3.2;5.4;64.0;Молочные продукты
Салака копчёная в масле консервированная;17.0;32.0;0.0;356.0;Морепродукты
Салат;1.5;0.0;2.2;14.0;Овощи
Сардины в масле консервированные;23.0;14.0;0.0;218.0;Морепродукты
Сахар;0.0;0.0;99.8;374.0;Сладости
Сахар рафинад быстрорастворимый ;0.0;0.0;99.95;400.0;Сладости
Свекла;1.7;0.0;10.8;4.8;Овощи
Свинина - балык особый;10.0;15.0;0.0;175.0;Продукты животного происхождения
Свинина - буженина;15.0;23.0;0.0;267.0;Продукты животного происхождения
Свинина - карбонад варёно-копчёный;15.0;20.0;0.0;240.0;Продукты животного происхождения
Свинина - корейка сырокопчёная;12.3;40.6;0.0;415.0;Продукты животного происхождения
Свиной язык консервированный;12.0;15.0;0.0;185.0;Продукты животного происхождения
Сельдерей зелень;0.0;0.0;2.0;8.0;Овощи
Сельдерей корень;1.3;0.0;6.7;31.0;Овощи
